rainfall,runoff
9.44,45
8.8,44.5
0.303,44.1
0,43.9
0.606,43.3
0.606,43.2
0.829,42.6
9.32,42.6
0.14,42.4
9.7,42.6
0.16,42.6
9.63,42.5
0,42.3
8.57,42.4
4.28,42.5
7.93,42.7
4.41,42.6
8.89,42.7
0.959,43.1
0.479,43.1
0.687,43.5
0.593,43.9
3.22,44.2
0,44.6
4.19,45
0,46
3.89,46.5
0,47.4
4.09,48.4
0,49.5
3.07,50.7
7.65,52
0.333,53.2
0.417,54.7
0.953,56.1
0,57.7
0.573,59.3
7.38,61.1
0.672,62.6
7.37,64.6
0,66.5
9.67,68.3
0.683,69.8
4.51,71.9
2.35,73.9
0.224,75.6
4.21,77.6
2.01,79.9
6.18,82.1
0,84.8
5.94,88.2
1.76,91.5
2.91,95.8
0,100
0,105
0,111
1.78,117
0.179,124
7.66,131
0.149,138
2.57,146
0,154
0,162
0.28,169
2.99,177
0,184
0.377,190
0,196
0,201
1.32,206
2.17,210
4.65,215
2.01,218
0.165,222
0.209,225
2.21,230
0.835,235
3.57,242
1.67,249
0.16,259
0.127,270
0,283
0,299
0.248,317
2.04,338
0.234,362
0,389
0.245,418
1.11,451
0.867,485
0.348,521
0.09,556
5.5,589
0.07,619
0.132,642
0,660
0.109,672
3.53,679
6.89,685
2.44,680
0.095,671
2.59,661
0.118,650
0.206,638
11.2,627
0,617
11.5,612
2.92,612
0,619
0,712
11.4,725
0,753
0,793
0,840
9.17,897
0,951
12.1,1.03E+03
10.3,1.07E+03
10.4,1.12E+03
0,1.17E+03
0.152,1.21E+03
1.95,1.25E+03
0,1.29E+03
0,1.32E+03
10.8,1.36E+03
0,1.40E+03
13.6,1.46E+03
0,1.51E+03
10.1,1.56E+03
2.66,1.60E+03
0,1.64E+03
0,1.68E+03
1.84,1.70E+03
1,1.71E+03
5,1.72E+03
0.983,1.73E+03
13.6,1.73E+03
13.1,1.74E+03
13.5,1.76E+03
3.14,1.76E+03
3.11,1.76E+03
6.9,1.78E+03
12.6,1.81E+03
3.67,1.81E+03
13.1,1.84E+03
11.9,1.87E+03
3.6,1.84E+03
5.59,1.85E+03
2.86,1.82E+03
11.3,1.86E+03
4.5,1.82E+03
15.2,1.79E+03
4.54,1.73E+03
3.28,1.69E+03
3.58,1.64E+03
17.8,1.63E+03
2.67,1.58E+03
14.9,1.55E+03
0.516,1.50E+03
13.9,1.50E+03
2.84,1.45E+03
12.4,1.46E+03
13.7,1.48E+03
14.6,1.49E+03
1.96,1.41E+03
8.34,1.40E+03
12,1.42E+03
11.2,1.38E+03
9.53,1.41E+03
5.56,1.41E+03
7.39,1.38E+03
6.23,1.43E+03
9.78,1.45E+03
6.4,1.49E+03
9.78,1.52E+03
8.09,1.54E+03
8.5,1.62E+03
6.69,1.67E+03
14.2,1.68E+03
8.15,1.68E+03
11.2,1.76E+03
7.65,1.82E+03
5.86,1.83E+03
8.99,1.82E+03
8.26,1.84E+03
9.24,1.89E+03
8.52,1.93E+03
5.45,1.92E+03
9.46,2.03E+03
10.3,2.03E+03
12.3,2.09E+03
7.34,2.16E+03
7.7,2.34E+03
10,2.27E+03
